nsubj(Determines, Type)
nsubj(Wash, Person)
nsubj(Have, Person)
dobj(Have, Grate)
dobj(Use, Pad)
nsubj(Have, Person)
dobj(Have, Grate)
nsubj(Have, Person)
dobj(Have, Hood)
nsubj(Have, Person)
dobj(Have, Stove)
dobj(Remove, Racks)
dobj(Put, Oven)
nsubj(Ended, Cycle)
dobj(Use, Cloth)
dobj(Remove, Residue)
dobj(Dip, Sponge)
dobj(Wipe, Surfaces)
dobj(Scrub, Stains)
nsubj(Have, Person)
dobj(Have, Cabinets)
dobj(Using, Supply)
nsubj(Buy, Person)
nsubj(Wipe, Supplies)
dobj(Wipe, Counters)
nsubj(Are, Sprays)
nsubj(Use, Person)
dobj(Cleaning, Supplies)
nsubj(Have, Person)
dobj(Have, Placemats)
nsubj(Match, Placemats)
nsubj(Fold, Person)
dobj(Fold, Napkin)
nsubj(Put, Person)
dobj(Put, Them)
nsubj(Forget, Person)
nsubj(Go, Fork)
nsubj(Eat, Person)
dobj(Eat, Meals)
nsubj(Have, Person)
dobj(Have, Salad)
nsubj(Eat, Person)
dobj(Using, Utensils)
nsubj(Go, Fork)
nsubj(Eating, Person)
dobj(Working, Way)
nsubj(Mix, Person)
nsubj(Go, Forks)
nsubj(Use, Person)
dobj(Use, Fork)
dobj(Cut, Something)
nsubj(Sit, Person)
dobj(Mimic, Gesture)
nsubj(See, Person)
nsubj(Pick, Person)
dobj(Pick, Fork)
nsubj(S, That)
nsubj(Go, Utensil)
nsubj(Larger, Spoon)
dobj(Place, Knife)
dobj(Place, Fork)
dobj(Spoon, Inches)
nsubj(Have, Person)
dobj(Have, Glasses)
nsubj(Be, Glass)
nsubj(Remember, Person)
dobj(Remember, This)
nsubj(Move, Guests)
nsubj(Sharp, Ridges)
nsubj(Want, Person)
dobj(Use, Towel)
nsubj(Hot, Cap)
nsubj(Hot, Water)
dobj(Run, It)
nsubj(Melt, This)
dobj(Melt, Cap)
nsubj(Curdle, Acid)
nsubj(Use, Person)
dobj(Curdle, Milk)
nsubj(Accelerates, Heat)
dobj(Accelerates, Process)
nsubj(Faster, Curdle)
nsubj(Important, This)
nsubj(Plan, Person)
dobj(Separate, Curds)
nsubj(Do, Person)
nsubj(Curdle, Person)
dobj(Curdle, Milk)
dobj(Using, Nothing)
dobj(Produce, Curds)
nsubj(Need, Person)
dobj(Need, Curds)
nsubj(Contains, Milk)
dobj(Contains, Protein)
nsubj(Becomes, Milk)
nsubj(Separate, Groupings)
nsubj(Clump, Proteins)
dobj(Causing, Milk)
nsubj(Acid, Juice)
nsubj(Acidic, Both)
nsubj(Add, Person)
nsubj(Be, Curds)
nsubj(Will, Person)
