dobj(Soaking,Bears)
nsubj(Have,Person)
dobj(Have,Pets)
nsubj(Jump,Who)
dobj(Run,Drain)
nsubj(Pity,Which)
dobj(Waste,Vodka)
dobj(Set,Strainer)
nsubj(Capture,Person)
nsubj(Wont,Person)
dobj(Return,It)
nsubj(Overload,Dont)
nsubj(Create,It)
dobj(Create,Problems)
nsubj(Have,Person)
dobj(Have,Placemats)
nsubj(Match,Placemats)
nsubj(Fold,Person)
dobj(Fold,Napkin)
nsubj(Put,Person)
dobj(Put,Them)
nsubj(Forget,Person)
nsubj(Go,Fork)
nsubj(Eat,Person)
dobj(Eat,Meals)
nsubj(Have,Person)
dobj(Have,Salad)
nsubj(Eat,Person)
dobj(Using,Utensils)
nsubj(Go,Fork)
nsubj(Eating,Person)
dobj(Working,Way)
nsubj(Mix,Person)
nsubj(Go,Forks)
nsubj(Use,Person)
dobj(Use,Fork)
dobj(Cut,Something)
nsubj(Sit,Person)
dobj(Mimic,Gesture)
nsubj(See,Person)
nsubj(Pick,Person)
dobj(Pick,Fork)
nsubj(S,That)
nsubj(Go,Utensil)
nsubj(Larger,Spoon)
dobj(Place,Knife)
dobj(Place,Fork)
dobj(Spoon,Inches)
nsubj(Have,Person)
dobj(Have,Glasses)
nsubj(Be,Glass)
nsubj(Remember,Person)
dobj(Remember,This)
nsubj(Move,Guests)
nsubj(Goes,Cup)
nsubj(Go,Air)
nsubj(Go,Cup)
nsubj(Bounce,It)
dobj(Bounce,Drops)
nsubj(Burn,It)
dobj(Limit,Yourself)
nsubj(Look,Many)
nsubj(Number,Finger)
nsubj(Number,Finger)
nsubj(Number,Finger)
nsubj(Number,Finger)
nsubj(Number,Finger)
dobj(Separate,Light)
nsubj(Wash,Person)
dobj(Wash,Clothes)
nsubj(Run,Some)
nsubj(S,That)
nsubj(Have,Clothes)
dobj(Have,Color)
nsubj(White,That)
nsubj(Go,Cream)
nsubj(Go,Clothes)
nsubj(Dont,Person)
nsubj(Dye,Shirt)
dobj(Separate,Clothes)
nsubj(Need,Fabrics)
nsubj(Gets,Which)
nsubj(Separate,Person)
dobj(Separate,Clothes)
nsubj(Harsh,Person)
nsubj(Come,Person)
nsubj(Need,Clothes)
dobj(See,Two)
nsubj(Tell,Tag)
dobj(Tell,Person)
nsubj(Necessary,Either)
dobj(Use,Water)
dobj(Light,Colors)
nsubj(Dirty,That)
nsubj(Scald,Heat)
dobj(Scald,Stains)
dobj(Use,Water)
nsubj(Reduces,Water)
dobj(Reduces,Amount)
nsubj(Runs,That)
nsubj(Wont,Clothes)
nsubj(Use,Person)
dobj(Use,Water)
nsubj(Likely,Person)
dobj(Squish,Clothes)
nsubj(Fit,Person)
nsubj(Run,Person)
nsubj(Risk,Person)
dobj(Jamming,Machine)
dobj(Damaging,It)
nsubj(Leave,It)
dobj(Use,This)
nsubj(Washes,Cycle)
nsubj(Keeps,Which)
dobj(Keeps,Colors)
dobj(Looking,Bright)
nsubj(Guess,Person)
nsubj(Dress,Anything)
nsubj(Wear,That)
dobj(Dress,Shirts)
nsubj(Make,Always)
nsubj(Require,Delicates)
dobj(Require,Person)
dobj(Wash,Them)
dobj(Rrb,Detergent)
nsubj(Put,Person)
nsubj(Is,Load)
nsubj(Act,Lids)
nsubj(Marked,That)
dobj(Read,Bottle)
dobj(Use,Detergent)
nsubj(Concentrated,Detergents)
nsubj(Need,Others)
nsubj(Dont,Person)
nsubj(Want,Person)
